MissionType,SecondaryElement,$NumINstr,FlightComputerRedundancy,Total,Categories,Inheritance2,Reuse,EFFORT
Observatory,None,6,DualString-Coldbackup,4,m,Low,VeryLowtoNone,1830
DeepSpace,Impactor/Probe,11,DualString-Warmbackup,8,s,VeryLowtoNone,VeryLowtoNone,648
Observatory,None,4,DualString-Coldbackup,2,s,Medium,Low,492
Earth/LunarOrbiter,None,10,SingleString,4
DeepSpace,Impactor/Probe,12,DualString-Warmbackup,2,m,VeryLowtoNone,VeryLowtoNone,3291.8
Rover,EDL,3,SingleString,10,m,VeryLowtoNone,VeryLowtoNone,1080
DeepSpace,None,2,SingleString,1,l,Medium,VeryLowtoNone,1042.8
DeepSpace,SampleReturn,2,DualString-Coldbackup,3,m,Medium,Medium,546
Earth/LunarOrbiter,None,3,DualString-Coldbackup,1,l,VeryLowtoNone,VeryLowtoNone,
DeepSpace,None,3,DualString-Coldbackup,6,m,High,VeryLowtoNone,336
Earth/LunarOrbiter,None,4,SingleString,1579
DeepSpace,SampleReturn,3,DualString-Coldbackup,5,m,High,High,637
Observatory,None,3,DualString-Coldbackup,2,l,VeryLowtoNone,VeryLowtoNone,2519
Earth/LunarOrbiter,None,6,DualString-Coldbackup,6
DeepSpace,Impactor/Probe,3,DualString-Coldbackup,3,l,Low,Medium,1047.9
Rover,EDL,5,DualString-Warmbackup,7,vl,Low,VeryLowtoNone,1735.4
DeepSpace,None,7,DualString-Coldbackup,2,l,Veryhigh,Medium,691
StaticLander,None,4,DualString-Warmbackup,3,l,High,Veryhigh,717
DeepSpace,None,3,DualString-Coldbackup,1,m,Veryhigh,Veryhigh,
Earth/LunarOrbiter,None,7,SingleString,3,m,VeryLowtoNone,VeryLowtoNone,964
Earth/LunarOrbiter,None,2,SingleString,3,m,Medium,Medium,
Earth/LunarOrbiter,None,7,DualString-Coldbackup,7,m,Veryhigh,Veryhigh,
Earth/LunarOrbiter,None,1,SingleString,1,l,High,VeryLowtoNone,492
Observatory,None,4,DualString-Coldbackup,0,m,Medium,High,446
Earth/LunarOrbiter,None,3,SingleString,5,m,High,High,1190
DeepSpace,None,9,DualString-Coldbackup,1,m,High,Low,320
Earth/LunarOrbiter,None,4,SingleString,1,l,Veryhigh,Veryhigh,356
Rover,EDL,10,DualString-Warmbackup,6,vl,VeryLowtoNone,VeryLowtoNone,1888
Earth/LunarOrbiter,None,5,DualString-Coldbackup,1,m,Veryhigh,Veryhigh,
DeepSpace,None,8,DualString-Coldbackup,1,l,Veryhigh,High,694
TelecommSat,None,1,DualString-Coldbackup,6,s,Veryhigh,High,72
Earth/LunarOrbiter,None,2,DualString-Coldbackup,2,m,High,Medium,
Earth/LunarOrbiter,None,2,SingleString,3,l,Medium,Medium,789
Earth/LunarOrbiter,None,2,SingleString,4,m,High,Medium,1043
Earth/LunarOrbiter,None,6,DualString-Coldbackup,2,m,High,Medium,
Earth/LunarOrbiter,None,1,SingleString,2,m,Veryhigh,VeryLowtoNone,23
Observatory,None,1,SingleString,1,m,47
Earth/LunarOrbiter,None,1,SingleString,0,m,
Earth/LunarOrbiter,None,7,SingleString,0,m,
